Name,Parents,Genetics,THC,CBD,Smell & flavour,Effect
A.C. Diesel,Sour Diesel,Sativa-dominant,Medium,Unknown,"['Diesel', 'Sour']","['Focused', 'Cerebral', 'Relaxed', 'Uplifting']"
AMS,Swiss indica x Swiss sativa,Indica-dominant (60%),19-20%,0.17%,"['Sweet', 'Earthy', 'Pine']","['Energetic', 'Euphoric', 'Clear-headed']"
Acapulco Gold,Landrace from Mexico,Sativa-dominant (70%),Medium,Low,"['Spicy', 'Earthy', 'Sweet', 'Musky']","['Uplifting', 'Cerebral', 'Energetic', 'Alert']"
ACDC,Cannatonic,Indica/sativa,1%,19-22%,"['Woody', 'Lemon', 'Pine', 'Fresh']","['Clear-headed', 'Smooth', 'Relaxed']"
Ace Silver Haze,Haze x Skunk x Northern Lights,Sativa-dominant,High,Unknown,"['Citrus', 'Sweet', 'Spicy']","['Uplifting', 'Happy', 'Cerebral']"
Acid,NYC Diesel,Indica-dominant (60%),16-20%,Unknown,"['Diesel', 'Sour', 'Grape']","['Relaxed', 'Uplifting', 'Euphoric']"
Afghan Hash Plant,Afghani Mazar-i-Sharif,Indica (90-100%),Medium,Unknown,"['Pungent', 'Sandalwood', 'Citrus', 'Woody']","['Body-buzz', 'Calming', 'Relaxed']"
Afghan Haze,Haze x Afghani,Sativa-dominant,High,Unknown,"['Herbal', 'Spicy', 'Pine', 'Woody']","['Calming', 'Relaxed', 'Happy']"
Afghan Kush,Landrace from Hindu Kush,Indica (90-100%),17%,Unknown,"['Spicy', 'Woody', 'Earthy']","['Strong', 'Relaxed', 'Sleepy', 'Couch-lock']"
Afghan OG,Afghani x OG Kush,Indica-dominant,Medium,Medium,"['Spicy', 'Earthy', 'Hashish']","['Relaxed', 'Body-buzz', 'Couch-lock', 'Calming', 'Sedative']"
Afghan Skunk,Skunk 1 x Afghani,Indica/sativa (50/50),17%,Unknown,"['Earthy', 'Herbal', 'Skunk']","['Sleepy', 'Calming', 'Relaxed']"
Afghani,Landrace from Afghanistan,Indica (90-100%),Medium,Unknown,"['Spicy', 'Earthy', 'Fresh']","['Relaxed', 'Couch-lock', 'Body-buzz', 'Happy', 'Calming']"
Afghani Gold,Afghani x Skunk 1,Indica (90-100%),High,Unknown,"['Sweet', 'Spicy', 'Herbal', 'Fruity']","['Relaxed', 'Happy', 'Couch-lock', 'Euphoric', 'Strong']"
Afgooey,Maui Haze x Afghani,Indica-dominant (70%),High,Unknown,"['Earthy', 'Citrus', 'Fruity']","['Creative', 'Sociable', 'Relaxed', 'Happy']"
Afrodite,Black Domina x Jack Herer,Sativa-dominant,Medium,Unknown,"['Sweet', 'Pepper', 'Earthy', 'Spicy']","['Cerebral', 'Strong', 'Narcotic']"
Afrokush,Pakistan Chitral Kush,Indica/sativa (50/50),High,Low,"['Sweet', 'Lemon', 'Flowery', 'Spicy', 'Hashish']","['Motivated', 'Creative', 'Uplifting', 'Energetic']"
Agent Orange,Jacks Cleaner x Orange Skunk x Space Queen,Indica/sativa (50/50),High,Unknown,"['Lemon', 'Sour']","['Strong', 'Motivated', 'Energetic']"
Airborne Genius,Genius x G13 Hash Plant,Indica-dominant,High,Unknown,"['Sweet', 'Citrus', 'Sour', 'Lemon']","['Happy', 'Balanced', 'Relaxed', 'Uplifting']"
AK Choco Kush,Choco Kush x AK-47,Indica-dominant (80%),21%,0.40%,"['Sweet', 'Chocolate', 'Spicy']","['Narcotic', 'Sleepy', 'Body-buzz', 'Relaxed']"
AK Widow 47,AK-47 x White Widow,Indica/sativa (50/50),14-19%,Unknown,"['Skunk', 'Fruity', 'Citrus', 'Spicy']","['Energetic', 'Uplifting', 'Relaxed']"
AK-020,Colombian x Mexican x Afghani,Indica/sativa (50/50),High,Unknown,"['Spicy', 'Sour', 'Pungent', 'Sweet', 'Earthy']","['Cerebral', 'Long-lasting', 'Relaxed', 'Body-buzz']"
AK-420,Mexican x Thai x Colombian x Afghani,Sativa-dominant,High,Unknown,"['Earthy', 'Skunk', 'Pungent']","['Relaxed', 'Uplifting', 'Sociable', 'Cerebral']"
AK-47,Colombian x Mexican x Afghani x Thai,Sativa-dominant,High,Unknown,"['Spicy', 'Pine', 'Skunk', 'Citrus']","['Sociable', 'Cerebral', 'Alert', 'Relaxed', 'Calming']"
AK-48,Mexican x Afghani x Thai x Colombian Gold,Indica/sativa,High,Unknown,"['Sweet', 'Citrus', 'Skunk']","['Cerebral', 'Relaxed', 'Calming']"
AK-OG Kush,AK-47 x OG Kush,Indica-dominant (80%),22%,0.40%,"['Earthy', 'Spicy', 'Coffee', 'Woody']","['Narcotic', 'Body-buzz', 'Relaxed', 'Happy']"
Akorn,Snow Bud,Indica-dominant,High,Unknown,"['Skunk', 'Sweet', 'Spicy']","['Relaxed', 'Body-buzz', 'Calming']"
Alaskan Ice,Haze x White Widow,Sativa-dominant (70%),High,Unknown,"['Sweet', 'Earthy', 'Citrus', 'Pungent']","['Euphoric', 'Strong', 'Relaxed', 'Uplifting']"
Alchemy,Querkle x Chem Dawg,Indica/sativa (50/50),21-22%,0.03%,"['Musky', 'Earthy', 'Diesel', 'Grape']","['Happy', 'Motivated', 'Relaxed', 'Munchies']"
Alien OG,Tahoe OG Kush x Alien Kush,Indica-dominant,28%,Low,"['Lemon', 'Pine']","['Focused', 'Happy', 'Uplifting']"
Allkush,Dutch genetics x Kush,Indica-dominant (80%),High,Low,"['Sweet', 'Earthy', 'Musky']","['Talkative', 'Strong', 'Calming', 'Sociable', 'Relaxed']"
Alphadawg,Chemdawg D x Snowdawg,Sativa-dominant (60%),High,Unknown,"['Sweet', 'Skunk', 'Diesel']","['Cerebral', 'Euphoric', 'Body-buzz', 'Relaxed']"
Amazing Haze,Amnesia Haze x Caramella,Sativa (90-100%),High,Unknown,"['Earthy', 'Lemon']","['Motivated', 'Cerebral', 'Uplifting', 'Happy']"
Amazonia,Master Widow x Green Thai,Sativa-dominant (60%),Medium,Medium,"['Sweet', 'Creamy', 'Spicy']","['Body-buzz', 'Happy', 'Long-lasting', 'Relaxed']"
American Dream,Jamaican x Afghani x Hawaiian sativa x Skunk,Indica-dominant (70%),Medium,Unknown,"['Sweet', 'Skunk', 'Pungent']","['Relaxed', 'Happy', 'Giggly']"
