UrlName,Name,Genetics,Parents,THC,CBD,Smell & flavour,Effect
ac-diesel,A.C. Diesel,Sativa-dominant,Sour Diesel,Medium,Unknown,"['Diesel', 'Sour']","['Focused', 'Cerebral', 'Relaxed', 'Uplifting']"
ams,AMS,Indica-dominant (60%),"['Swiss indica', 'Swiss sativa']",19-20%,0.17%,"['Sweet', 'Earthy', 'Pine']","['Energetic', 'Euphoric', 'Clear-headed']"
a-1-haze,A1 Haze,Sativa-dominant,Unknown,Medium,Unknown,"['Pine', 'Sweet', 'Fresh']","['Uplifting', 'Attentive', 'Sociable', 'Talkative']"
acapulco-gold,Acapulco Gold,Sativa-dominant (70%),Landrace from Mexico,Medium,Low,"['Spicy', 'Earthy', 'Sweet', 'Musky']","['Uplifting', 'Cerebral', 'Energetic', 'Alert']"
acdc,ACDC,Indica/sativa,Cannatonic,1%,19-22%,"['Woody', 'Lemon', 'Pine', 'Fresh']","['Clear-headed', 'Smooth', 'Relaxed']"
ace-silver-haze,Ace Silver Haze,Sativa-dominant,"['Haze', 'Skunk', 'Northern Lights']",High,Unknown,"['Citrus', 'Sweet', 'Spicy']","['Uplifting', 'Happy', 'Cerebral']"
acid,Acid,Indica-dominant (60%),NYC Diesel,16-20%,Unknown,"['Diesel', 'Sour', 'Grape']","['Relaxed', 'Uplifting', 'Euphoric']"
afghan-hash-plant,Afghan Hash Plant,Indica (90-100%),Afghani Mazar-i-Sharif,Medium,Unknown,"['Pungent', 'Sandalwood', 'Citrus', 'Woody']","['Body-buzz', 'Calming', 'Relaxed']"
afghan-haze,Afghan Haze,Sativa-dominant,"['Haze', 'Afghani']",High,Unknown,"['Herbal', 'Spicy', 'Pine', 'Woody']","['Calming', 'Relaxed', 'Happy']"
afghan-kush,Afghan Kush,Indica (90-100%),Landrace from Hindu Kush,17%,Unknown,"['Spicy', 'Woody', 'Earthy']","['Strong', 'Relaxed', 'Sleepy', 'Couch-lock']"
afghan-kush-ryder,Afghan Kush Ryder,Indica autoflowering,"['Afghan Kush', 'ruderalis']",22%,Unknown,"['Spicy', 'Earthy', 'Woody']","['Strong', 'Couch-lock', 'Sleepy', 'Calming']"
afghan-og,Afghan OG,Indica-dominant,"['Afghani', 'OG Kush']",Medium,Medium,"['Spicy', 'Earthy', 'Hashish']","['Relaxed', 'Body-buzz', 'Couch-lock', 'Calming', 'Sedative']"
afghan-skunk,Afghan Skunk,Indica/sativa (50/50),"['Skunk 1', 'Afghani']",17%,Unknown,"['Earthy', 'Herbal', 'Skunk']","['Sleepy', 'Calming', 'Relaxed']"
afghani,Afghani,Indica (90-100%),Landrace from Afghanistan,Medium,Unknown,"['Spicy', 'Earthy', 'Fresh']","['Relaxed', 'Couch-lock', 'Body-buzz', 'Happy', 'Calming']"
afghani-gold,Afghani Gold,Indica (90-100%),"['Afghani', 'Skunk 1']",High,Unknown,"['Sweet', 'Spicy', 'Herbal', 'Fruity']","['Relaxed', 'Happy', 'Couch-lock', 'Euphoric', 'Strong']"
afgooey,Afgooey,Indica-dominant (70%),"['Maui Haze', 'Afghani']",High,Unknown,"['Earthy', 'Citrus', 'Fruity']","['Creative', 'Sociable', 'Relaxed', 'Happy']"
afrodite,Afrodite,Sativa-dominant,"['Black Domina', 'Jack Herer']",Medium,Unknown,"['Sweet', 'Pepper', 'Earthy', 'Spicy']","['Cerebral', 'Strong', 'Narcotic']"
afrokush,Afrokush,Indica/sativa (50/50),Pakistan Chitral Kush,High,Low,"['Sweet', 'Lemon', 'Flowery', 'Spicy', 'Hashish']","['Motivated', 'Creative', 'Uplifting', 'Energetic']"
agent-orange,Agent Orange,Indica/sativa (50/50),"[""Jack's Cleaner"", 'Orange Skunk', 'Space Queen']",High,Unknown,"['Lemon', 'Sour']","['Strong', 'Motivated', 'Energetic']"
airborne-genius,Airborne Genius,Indica-dominant,"['Genius', 'G13 Hash Plant']",High,Unknown,"['Sweet', 'Citrus', 'Sour', 'Lemon']","['Happy', 'Balanced', 'Relaxed', 'Uplifting']"
ak-choco-kush,AK Choco Kush,Indica-dominant (80%),"['Choco Kush', 'AK-47']",21%,0.4%,"['Sweet', 'Chocolate', 'Spicy']","['Narcotic', 'Sleepy', 'Body-buzz', 'Relaxed']"
ak-widow-47,AK Widow 47,Indica/sativa (50/50),"['AK-47', 'White Widow']",14-19%,Unknown,"['Skunk', 'Fruity', 'Citrus', 'Spicy']","['Energetic', 'Uplifting', 'Relaxed']"
ak-020,AK-020,Indica/sativa (50/50),"['Colombian', 'Mexican', 'Afghani']",High,Unknown,"['Spicy', 'Sour', 'Pungent', 'Sweet', 'Earthy']","['Cerebral', 'Long-lasting', 'Relaxed', 'Body-buzz']"
ak-420,AK-420,Sativa-dominant,"['Mexican', 'Thai', 'Colombian', 'Afghani']",High,Unknown,"['Earthy', 'Skunk', 'Pungent']","['Relaxed', 'Uplifting', 'Sociable', 'Cerebral']"
ak-47,AK-47,Sativa-dominant,"['Colombian', 'Mexican', 'Afghani', 'Thai']",High,Unknown,"['Spicy', 'Pine', 'Skunk', 'Citrus']","['Sociable', 'Cerebral', 'Alert', 'Relaxed', 'Calming']"
ak-48,AK-48,Indica/sativa,"['Mexican', 'Afghani', 'Thai', 'Colombian Gold']",High,Unknown,"['Sweet', 'Citrus', 'Skunk']","['Cerebral', 'Relaxed', 'Calming']"
ak-og-kush,AK-OG Kush,Indica-dominant (80%),"['AK-47', 'OG Kush']",22%,0.4%,"['Earthy', 'Spicy', 'Coffee', 'Woody']","['Narcotic', 'Body-buzz', 'Relaxed', 'Happy']"
akorn,Akorn,Indica-dominant,Snow Bud,High,Unknown,"['Skunk', 'Sweet', 'Spicy']","['Relaxed', 'Body-buzz', 'Calming']"
alaskan-ice,Alaskan Ice,Sativa-dominant (70%),"['Haze', 'White Widow']",High,Unknown,"['Sweet', 'Earthy', 'Citrus', 'Pungent']","['Euphoric', 'Strong', 'Relaxed', 'Uplifting']"
alaskan-thunder-fuck,Alaskan Thunder Fuck,Sativa-dominant (60%),,22%,Low,"['Pine', 'Lemon', 'Skunk', 'Mint']","['Munchies', 'Relaxed', 'Euphoric']"
alchemy,Alchemy,Indica/sativa (50/50),"['Querkle', 'Chem Dawg']",21-22%,0.03%,"['Musky', 'Earthy', 'Diesel', 'Grape']","['Happy', 'Motivated', 'Relaxed', 'Munchies']"
alegria,Alegria,Indica-dominant (80%),Unknown,Medium,Medium,"['Diesel', 'Sweet', 'Pine']","['Sociable', 'Relaxed', 'Motivated', 'Creative']"
alien-og,Alien OG,Indica-dominant,"['Tahoe OG Kush', 'Alien Kush']",28%,Low,"['Lemon', 'Pine']","['Focused', 'Happy', 'Uplifting']"
allkush,Allkush,Indica-dominant (80%),"['Dutch genetics', 'Kush']",High,Low,"['Sweet', 'Earthy', 'Musky']","['Talkative', 'Strong', 'Calming', 'Sociable', 'Relaxed']"
alphadawg,Alphadawg,Sativa-dominant (60%),"['Chemdawg D', 'Snowdawg']",High,Unknown,"['Sweet', 'Skunk', 'Diesel']","['Cerebral', 'Euphoric', 'Body-buzz', 'Relaxed']"
alpujarreña,Alpujarreña,Indica (90-100%),Unknown,17%,1%,"['Herbal', 'Earthy', 'Spicy']","['Relaxed', 'Body-buzz', 'Calming']"
